0-1-0,0-0-0,1-1-0,1-0-0,2-1-0,2-0-0,3-1-0,3-0-0,4-1-0,4-0-0,0-1-1,0-0-1,1-1-1,1-0-1,2-1-1,2-0-1,3-1-1,3-0-1,4-1-1,4-0-1,0-1-2,0-0-2,1-1-2,1-0-2,2-1-2,2-0-2,3-1-2,3-0-2,4-1-2,4-0-2,0-1-3,0-0-3,1-1-3,1-0-3,2-1-3,2-0-3,3-1-3,3-0-3,4-1-3,4-0-3,0-1-4,0-0-4,1-1-4,1-0-4,2-1-4,2-0-4,3-1-4,3-0-4,4-1-4,4-0-4,0-1-5,0-0-5,1-1-5,1-0-5,2-1-5,2-0-5,3-1-5,3-0-5,4-1-5,4-0-5,0-1-6,0-0-6,1-1-6,1-0-6,2-1-6,2-0-6,3-1-6,3-0-6,4-1-6,4-0-6,0-1-7,0-0-7,1-1-7,1-0-7,2-1-7,2-0-7,3-1-7,3-0-7,4-1-7,4-0-7,0-1-8,0-0-8,1-1-8,1-0-8,2-1-8,2-0-8,3-1-8,3-0-8,4-1-8,4-0-8,0-1-9,0-0-9,1-1-9,1-0-9,2-1-9,2-0-9,3-1-9,3-0-9,4-1-9,4-0-9
3-0-1,"INFL046,INFL133,INFL166,INFL163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1-1,"INFL138,INFL167,INFL061,INFL180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-0-1,"INFL190,INFL191,INFL332,INFL167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1-2,"INFL100,INFL321,INFL322,INFL002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0-2,"INFL054,INFL228,INFL100,INFL003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-2,"INFL004,INFL006,INFL007,INFL226,INFL334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0-2,"INFL144,INFL337,INFL004,INFL338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1-2,"INFL042,INFL118,INFL036,INFL014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-0-2,"INFL106,INFL014,INFL107,INFL337,INFL042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-1-2,"INFL021,INFL027,INFL170,INFL177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-0-2,"INFL175,INFL178,INFL021,INFL027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1-2,"INFL029,INFL173,INFL061,INFL180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-0-2,"INFL191,INFL335,INFL173,INFL061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1-3,"INFL051,INFL002,INFL102,INFL327,INFL328,INFL001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0-3,"INFL309,INFL001,INFL002,INFL102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-3,"INFL002,INFL315,INFL316,INFL009,INFL001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0-3,"INFL318,INFL338,INFL002,INFL316,INFL343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1-3,"INFL012,INFL018,INFL051,INFL185,INFL186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-0-3,"INFL176,INFL012,INFL051,INFL343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-1-3,"INFL022,INFL032,INFL082,INFL026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-0-3,"INFL082,INFL022,INFL032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1-3,"INFL035,INFL172,INFL187,INFL312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-0-3,"INFL189,INFL035,INFL172,INFL187,INFL312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1-4,"INFL002,INFL299,INFL242,INFL314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0-4,"INFL115,INFL054,INFL003,INFL319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-4,"INFL236,INFL007,INFL300,INFL292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0-4,"INFL236,INFL308,INFL320,INFL341,INFL300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1-4,"INFL008,INFL009,INFL020,INFL036,INFL342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
