ID,str_prd_title,str_prd_link,num_prd_price,str_prd_type,str_prd_key
D_377,Makeup revolution highlighter baked,https://www.amazon.co.uk/Makeup-Revolution-Highlighter-Highlight-Highlighters/dp/B0143147YQ,0,D,D_377
D_378,Rimmel Natural Bronzer,https://www.boots.com/rimmel-natural-bronzer-10058661,0,D,D_378
D_379,E.L.F shimmer (gold),https://www.ebay.co.uk/itm/E-L-F-Gold-Face-Shimmer-with-Brush-Gold-Highlighter-Illuminator-Powder-/263746070851,0,D,D_379
D_380,NYX matte mineral finishing powder,https://www.nyxcosmetics.co.uk/en_GB/face/powder/mineral-finishing-powder/NYX_081.html,0,D,D_380
D_381,Revolution HD Palette Matte Amplified 35 - Inspiration,https://www.revolutionbeauty.com/en/Revolution-HD-Palette-Matte-Amplified-35---Inspiration/m-2410.aspx,0,D,D_381
D_382,Body Shop Fresh Nude Foundation,https://www.thebodyshop.com/en-gb/make-up/foundations-concealers/fresh-nude-foundation/p/p000349,0,D,D_382
D_383,NYX no filter powder,https://www.boots.com/nyx-professional-makeup-nofilter-finishing-powder-10223084,0,D,D_383
D_384,E.L.F Cream contour palette,https://www.elfcosmetics.co.uk/cream-contour-palette/300052.html,0,D,D_384
D_385,NYX espresso lip pencil,https://www.nyxcosmetics.co.uk/en_GB/lips/lip-pencils/slim-lip-pencil/NYX_052.html,0,D,D_385
D_386,NYX Translucent setting powder,https://www.cultbeauty.co.uk/nyx-professional-makeup-studio-finishing-powder-translucent-finish.html,0,D,D_386
D_387,Revolution Highlighter Palette Rose Lights,https://www.revolutionbeauty.com/en/Revolution-Rose-Lights-Highlighter-Palette/m-2298.aspx,0,D,D_387
D_388,NYX slim lip pencil - natural,https://www.nyxcosmetics.co.uk/en_GB/lips/lip-pencils/slim-lip-pencil/NYX_052.html,0,D,D_388
D_389,Lick and Lash beauty 35 Bella Rio Palette,https://lickandlashbeauty.co.uk/products/lick-and-lash-beauty-35-colour-bella-rio-palette,0,D,D_389
D_390,Barry M liquid Chrome hightligter drops,https://www.barrym.com/product/Liquid-Chrome-Highlighter-Drops,0,D,D_390
D_391,Revolution luxury banana powder - yellow,https://www.revolutionbeauty.com/en/Revolution-Luxury-Banana-Baking-Powder/m-2081.aspx,0,D,D_391
D_392,NYX exposed lipstick,https://www.amazon.co.uk/NYX-Simply-Nude-Cream-Exposed/dp/B00QSPDVJS,0,D,D_392
D_393,NYX ultimate shadow palette -bright,https://www.nyxcosmetics.co.uk/en_GB/eyes/palettes/ultimate-shadow-palette/NYX_337.html?cgid=palettes&dwvar_NYX__337_color=Brights#start=5&cgid=palettes,0,D,D_393
D_394,NYX stay Matte not Flat,https://www.cultbeauty.co.uk/nyx-professional-makeup-stay-matte-but-not-flat-liquid-foundation.html,0,D,D_394
D_395,Wet n Wild Mega Glo Makeup Stick Bronzer,https://www.amazon.com/Wet-Wild-Megaglo-Makeup-806/dp/B01MZ7A0OF,0,D,D_395
D_396,Revlon super lustrous lipgloss,https://www.boots.com/revlon-super-lustrous-lipgloss-10155608,0,D,D_396
D_397,NYX primer angel viel,https://www.cultbeauty.co.uk/nyx-professional-makeup-angel-veil-skin-perfecting-primer.html,0,D,D_397
D_398,L'Oreal true match foundation,https://www.superdrug.com/L'Oreal-Paris/L'Oreal-Paris-True-Match-Foundation-1-N-Ivory-30ml/p/546207,0,D,D_398
D_399,Revolution conceal and define concealer,https://www.revolutionbeauty.com/en/Revolution-Conceal-and-Define-Concealer---C1/m-5840.aspx,0,D,D_399
D_400,NYX photo loving primer,https://www.cultbeauty.co.uk/nyx-professional-makeup-studio-perfect-primer.html,0,D,D_400
